Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.02443870471336406,-0.8420265665575571,-3.716300954622966
100.9252886076684,-0.02365370112458934,-0.8475117937707201,-3.732272934028686
101.8591388054117,-0.02389766009572713,-0.8512088963709329,-3.749150011670082
102.8016298126473,-0.02440310854528704,-0.8553765427443722,-3.765695194661433
103.7528415818013,-0.02301848023058568,-0.8579062614875309,-3.792831514957442
104.71285480509,-0.02497684597626343,-0.8594475272368298,-3.790047647801096
105.6817509213658,-0.02395237535481724,-0.8648555166480408,-3.820040440653013
106.6596121230258,-0.02524273380581081,-0.868382915667872,-3.825151242417292
107.6465213629835,-0.02414977876376103,-0.8728652217783395,-3.854721751314649
108.6425623617066,-0.0239368881965526,-0.8761411833929454,-3.863219963242358
109.6478196143185,-0.02469207941942114,-0.8773567239959466,-3.879484271991046
110.6623783977666,-0.02429757862198529,-0.8805772833066116,-3.890121979534371
111.6863247780561,-0.02326553972608576,-0.8843799289309062,-3.898938465411007
112.719745617551,-0.02394524732275279,-0.8891004940949215,-3.920100663663234
113.7627285823431,-0.02407834485885016,-0.8929518577040031,-3.935501246748515
114.8153621496883,-0.02399316263842122,-0.896539681020022,-3.947009561806368
115.8777356155126,-0.02455964937740925,-0.8989339550725588,-3.967062915148771
116.9499391019871,-0.02494686832642809,-0.9023253362662749,-3.984485927112559
118.032063565173,-0.02382994539090159,-0.9063780952408669,-3.996054832313774
119.1242008027375,-0.02353940647122013,-0.9080778719916689,-4.011102913860299
120.2264434617413,-0.02489398063469514,-0.9112728847821184,-4.024403601583984
121.3388850464977,-0.02414056581435226,-0.9151253644856633,-4.033171384256519
122.4616199265049,-0.02248426690462678,-0.917413464717347,-4.053847232398624
123.5947433444511,-0.02477318531931561,-0.9206248000399218,-4.059358893486475
124.7383514242943,-0.02280228610987482,-0.9243513868290855,-4.077188570401702
125.8925411794167,-0.02476407943051116,-0.9265823850246925,-4.086383244566747
127.0574105208542,-0.02459839109950165,-0.9302784403316879,-4.110190127232158
128.2330582656022,-0.02380773915899852,-0.9338835903606323,-4.126987067123139
129.4195841449986,-0.02290538084849979,-0.940294095774884,-4.144527351090645
130.6170888131842,-0.02383916187815977,-0.9421771781689353,-4.173345053910712
131.8256738556407,-0.02431170713942766,-0.945370168173456,-4.179101016933203
133.0454417978092,-0.02523493842769538,-0.9483903925232786,-4.199526939721324
134.2764961137864,-0.02398684205713944,-0.9528984021871423,-4.202319171395686
135.5189412351036,-0.02358528810344209,-0.9557492011531104,-4.226169411790757
136.7728825595849,-0.02436333018833639,-0.9593137443344306,-4.246989277075031
138.0384264602885,-0.02433811418343416,-0.968705268034004,-4.278748111011673
139.3156802945304,-0.02408420135560733,-0.9730626356189765,-4.293962231767807
140.6047524129914,-0.02240085358705249,-0.9759664596210664,-4.317945445940978
141.9057521689093,-0.02467701529015163,-0.9771911097109441,-4.339532973673982
143.2187899273544,-0.02467796231400311,-0.9809079232764251,-4.346777170261021
144.5439770745928,-0.02500852473685838,-0.9846302913408569,-4.366139465936726
145.8814260275349,-0.02420654837204841,-0.9881344810363352,-4.376166675060361
147.2312502432719,-0.0233034210639058,-0.9934137797145006,-4.399512285096051
148.5935642287007,-0.02401111461114042,-0.996237544070896,-4.409991055241306
149.9684835502374,-0.02365659078038391,-1.000526825950906,-4.441061945817019
151.3561248436209,-0.02461104991610031,-1.004059738428912,-4.464232385804323
152.7566058238073,-0.02300067583686036,-1.007622810341102,-4.478649575081477
