Time (s),Channel 1 (V),Channel 2 (V)
-0.002580477835051546,-0.1992013724970819,-0.01633184935476825
-0.002579847835051547,-0.1992013724970819,-0.01667271845490744
-0.002579217835051547,-0.1988579506331631,-0.0166727184549076
-0.002578587835051546,-0.1988579506331633,-0.01633184935476856
-0.002577957835051547,-0.1992013724970819,-0.01701358755504696
-0.002577327835051546,-0.1995447943610005,-0.01735445665518631
-0.002576697835051547,-0.199201372497082,-0.01701358755504711
-0.002576067835051547,-0.1992013724970819,-0.0166727184549076
-0.002575437835051546,-0.1992013724970819,-0.0166727184549076
-0.002574807835051547,-0.1992013724970819,-0.0166727184549076
-0.002574177835051547,-0.1995447943610005,-0.01701358755504696
-0.002573547835051546,-0.1992013724970822,-0.01735445665518615
-0.002572917835051547,-0.1998882162249192,-0.01701358755504696
-0.002572287835051546,-0.1992013724970819,-0.0166727184549076
-0.002571657835051546,-0.1988579506331631,-0.0166727184549076
-0.002571027835051547,-0.1988579506331631,-0.0166727184549076
-0.002570397835051546,-0.1988579506331631,-0.0166727184549076
-0.002569767835051547,-0.1988579506331631,-0.0166727184549076
-0.002569137835051547,-0.1988579506331631,-0.0166727184549076
-0.002568507835051546,-0.1992013724970816,-0.01667271845490744
-0.002567877835051547,-0.1985145287692445,-0.01633184935476825
-0.002567247835051547,-0.1992013724970819,-0.0159909802546289
-0.002566617835051546,-0.1995447943610004,-0.01667271845490776
-0.002565987835051547,-0.1992013724970819,-0.01701358755504696
-0.002565357835051546,-0.1995447943610005,-0.01735445665518631
-0.002564727835051547,-0.199201372497082,-0.01735445665518631
-0.002564097835051547,-0.1992013724970819,-0.01701358755504696
-0.002563467835051546,-0.199201372497082,-0.01769532575532582
-0.002562837835051547,-0.1995447943610005,-0.01803619485546502
-0.002562207835051547,-0.2002316380888379,-0.01701358755504696
-0.002561577835051546,-0.2005750599527561,-0.01735445665518631
-0.002560947835051547,-0.1995447943610005,-0.01735445665518631
-0.002560317835051546,-0.1985145287692445,-0.01735445665518631
-0.002559687835051547,-0.198857950633163,-0.01769532575532551
-0.002559057835051547,-0.1995447943610005,-0.01769532575532566
-0.002558427835051546,-0.1995447943610005,-0.01735445665518631
-0.002557797835051547,-0.1992013724970819,-0.01769532575532566
-0.002557167835051547,-0.1988579506331631,-0.01769532575532566
-0.002556537835051546,-0.198857950633163,-0.01769532575532566
-0.002555907835051547,-0.1985145287692445,-0.01769532575532566
-0.002555277835051546,-0.1995447943610005,-0.01735445665518631
-0.002554647835051547,-0.1988579506331634,-0.01769532575532551
-0.002554017835051547,-0.1992013724970819,-0.01769532575532566
-0.002553387835051546,-0.1992013724970819,-0.01803619485546502
-0.002552757835051547,-0.1995447943610005,-0.01803619485546502
-0.002552127835051547,-0.1995447943610005,-0.01803619485546502
-0.002551497835051546,-0.199888216224919,-0.01837706395560421
-0.002550867835051547,-0.1995447943610005,-0.01803619485546502
-0.002550237835051546,-0.1995447943610005,-0.01837706395560437
-0.002549607835051547,-0.199201372497082,-0.01803619485546517
-0.002548977835051547,-0.1992013724970819,-0.01803619485546502
-0.002548347835051546,-0.1998882162249192,-0.01769532575532566
-0.002547717835051547,-0.1995447943610007,-0.01769532575532566
-0.002547087835051547,-0.1992013724970819,-0.01769532575532566
-0.002546457835051546,-0.1995447943610004,-0.01803619485546502
-0.002545827835051547,-0.1992013724970819,-0.01803619485546502
