time	V(vout)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+00	-2.711062e-01
5.625000056019847e-09	-2.710881e-01
1.687500017152899e-08	-2.708996e-01
3.937500040254727e-08	-2.698173e-01
5.499999954083901e-08	-2.681710e-01
6.875000172282264e-08	-2.658348e-01
7.249999563543885e-08	-2.649714e-01
8.500002434894127e-08	-2.612973e-01
1.000370476143819e-07	-2.554232e-01
1.024080949728334e-07	-2.543296e-01
1.048167780036413e-07	-2.531640e-01
1.096341440652571e-07	-2.506733e-01
1.192688761884886e-07	-2.451255e-01
1.385383404349516e-07	-2.324815e-01
1.701214072599710e-07	-2.094660e-01
2.005024539696032e-07	-1.861903e-01
2.469815575840972e-07	-1.511253e-01
3.173375766815645e-07	-1.028699e-01
4.580496148764990e-07	-2.071635e-02
6.118897191639827e-07	5.173821e-02
7.710585914685875e-07	1.086397e-01
9.809338425981196e-07	1.632821e-01
1.226786667647695e-06	2.073850e-01
1.532933483119198e-06	2.422801e-01
1.883073659864065e-06	2.655673e-01
2.316936139116349e-06	2.806253e-01
2.835021018096628e-06	2.888726e-01
3.510514639988582e-06	2.929145e-01
4.390937477952855e-06	2.944163e-01
5.682918225176359e-06	2.947610e-01
7.722170378546278e-06	2.946957e-01
2.500999999999996e-04	2.807490e-01
2.501100000000013e-04	2.806172e-01
2.501300000000012e-04	2.796858e-01
2.501599999999993e-04	2.752481e-01
2.501999999999990e-04	2.646591e-01
2.502040000000004e-04	2.627214e-01
2.502119999999997e-04	2.585087e-01
2.502279999999982e-04	2.488202e-01
2.502548456382418e-04	2.302617e-01
2.502839309453282e-04	2.083858e-01
2.503213495395375e-04	1.796722e-01
2.503751211029998e-04	1.406836e-01
2.504826642299209e-04	7.222123e-02
2.506377019912652e-04	-9.322003e-03
2.507951295728714e-04	-7.400167e-02
2.509706850999001e-04	-1.276058e-01
2.511965775611365e-04	-1.767640e-01
2.514642282752701e-04	-2.157071e-01
2.517897456428761e-04	-2.447930e-01
2.521692356295853e-04	-2.637690e-01
2.526366458498706e-04	-2.753688e-01
2.532089066015590e-04	-2.814370e-01
2.539599217188833e-04	-2.841439e-01
2.549753081404690e-04	-2.850166e-01
2.565128867158643e-04	-2.851284e-01
2.643719412636740e-04	-2.846925e-01
5.000000000000004e-04	-2.715875e-01
5.000099999999986e-04	-2.714557e-01
5.000299999999985e-04	-2.705243e-01
5.000600000000001e-04	-2.660864e-01
5.000999999999999e-04	-2.554972e-01
5.001040000000012e-04	-2.535595e-01
5.001120000000005e-04	-2.493468e-01
5.001279999999990e-04	-2.396598e-01
5.001547409108249e-04	-2.211779e-01
5.001837663463696e-04	-1.993499e-01
5.002210139405175e-04	-1.707635e-01
5.002745834377480e-04	-1.318966e-01
5.003817224322124e-04	-6.362353e-02
5.005370014491729e-04	1.814613e-02
5.006943935761919e-04	8.272308e-02
5.008785118334122e-04	1.386090e-01
5.011072495714093e-04	1.877405e-01
5.013836682080733e-04	2.270138e-01
5.017126822553508e-04	2.554462e-01
5.021040278198677e-04	2.741078e-01
5.025796025254110e-04	2.852018e-01
5.031727553699399e-04	2.909678e-01
5.039454541962037e-04	2.934434e-01
5.050121705545349e-04	2.942038e-01
5.066312270194315e-04	2.942709e-01
7.501000000000001e-04	2.802912e-01
7.501046958899027e-04	2.802817e-01
7.501140876697079e-04	2.801790e-01
7.501328712293219e-04	2.792684e-01
7.501613597308207e-04	2.762945e-01
7.501688640220161e-04	2.748596e-01
7.501838726044069e-04	2.704614e-01
7.501999999999995e-04	2.646344e-01
7.502016127395594e-04	2.638851e-01
7.502048382186793e-04	2.623276e-01
7.502112891769157e-04	2.589378e-01
7.502241910933884e-04	2.512152e-01
7.502499949263372e-04	2.336264e-01
7.502785136775068e-04	2.123516e-01
7.503149906984835e-04	1.842765e-01
7.503637717605170e-04	1.483794e-01
7.504613338845806e-04	8.474287e-02
7.506160914051221e-04	6.975519e-04
7.507728574238613e-04	-6.635708e-02
7.509403850550003e-04	-1.198927e-01
7.511614114647236e-04	-1.706459e-01
7.514202942442323e-04	-2.108609e-01
7.517401354449615e-04	-2.417364e-01
7.521077282201631e-04	-2.619048e-01
7.525641097671024e-04	-2.745517e-01
7.531148544132650e-04	-2.812511e-01
7.538393758688040e-04	-2.843573e-01
7.548014910287379e-04	-2.854130e-01
7.562472954667256e-04	-2.855911e-01
7.586307921242687e-04	-2.854784e-01
1.000000000000001e-03	-2.720230e-01
1.000009999999999e-03	-2.718912e-01
1.000029999999999e-03	-2.709598e-01
1.000060000000001e-03	-2.665220e-01
1.000100000000000e-03	-2.559328e-01
1.000104000000002e-03	-2.539951e-01
1.000112000000001e-03	-2.497824e-01
1.000127999999999e-03	-2.400953e-01
1.000154745897784e-03	-2.216098e-01
1.000183774184839e-03	-1.997794e-01
1.000221029920513e-03	-1.711871e-01
1.000274609035966e-03	-1.323143e-01
1.000381767266873e-03	-6.403221e-02
1.000537033833983e-03	1.772620e-02
1.000694427706918e-03	8.230792e-02
1.000878147184445e-03	1.380881e-01
1.001106753380526e-03	1.872212e-01
1.001382761580741e-03	2.264796e-01
1.001711611292335e-03	2.549422e-01
1.002102398481600e-03	2.736186e-01
1.002577587169221e-03	2.847357e-01
1.003169748582073e-03	2.905157e-01
1.003941414117797e-03	2.930018e-01
1.005005664690740e-03	2.937672e-01
1.006620778423374e-03	2.938363e-01
1.250100000000001e-03	2.798769e-01
1.250110000000002e-03	2.797450e-01
1.250130000000002e-03	2.788137e-01
1.250160000000000e-03	2.743759e-01
1.250200000000000e-03	2.637869e-01
1.250204000000001e-03	2.618492e-01
1.250212000000001e-03	2.576365e-01
1.250227999999999e-03	2.479482e-01
1.250254835685929e-03	2.293969e-01
1.250283915304740e-03	2.075256e-01
1.250321317640388e-03	1.788241e-01
1.250375069994879e-03	1.398470e-01
1.250482574703858e-03	7.140258e-02
1.250637633673394e-03	-1.016136e-02
1.250795057988748e-03	-7.483098e-02
1.250971445297858e-03	-1.286579e-01
1.251197616001318e-03	-1.778141e-01
1.251466114235343e-03	-2.167904e-01
1.251791968172905e-03	-2.458121e-01
1.252172597467769e-03	-2.647579e-01
1.252640789189779e-03	-2.763079e-01
1.253215043194880e-03	-2.823464e-01
1.253968118518151e-03	-2.850302e-01
1.254988345163181e-03	-2.858916e-01
1.256533552289191e-03	-2.859989e-01
1.264457595679915e-03	-2.855573e-01
1.500000000000001e-03	-2.724171e-01
1.500009663035668e-03	-2.722996e-01
1.500028989107002e-03	-2.713882e-01
1.500061347857330e-03	-2.666028e-01
1.500100000000001e-03	-2.563564e-01
1.500103865214267e-03	-2.544894e-01
1.500111595642801e-03	-2.504383e-01
1.500127056499868e-03	-2.411249e-01
1.500153991212241e-03	-2.225812e-01
1.500182690648194e-03	-2.010400e-01
1.500219878599822e-03	-1.724776e-01
1.500272008562838e-03	-1.345251e-01
1.500376268488871e-03	-6.769137e-02
1.500531168096116e-03	1.455014e-02
1.500688377126479e-03	7.975763e-02
1.500869565107844e-03	1.354656e-01
1.501096760079167e-03	1.850381e-01
1.501369939963835e-03	2.246309e-01
1.501697056800394e-03	2.535866e-01
1.502083948274561e-03	2.725915e-01
1.502555650590393e-03	2.839976e-01
1.503140660725533e-03	2.899521e-01
1.503903658055129e-03	2.925460e-01
1.504949684003061e-03	2.933601e-01
1.506533227673884e-03	2.934460e-01
1.750100000000001e-03	2.795020e-01
1.750110000000003e-03	2.793702e-01
1.750130000000003e-03	2.784388e-01
1.750160000000001e-03	2.740010e-01
1.750200000000000e-03	2.634120e-01
1.750204000000002e-03	2.614743e-01
1.750212000000001e-03	2.572616e-01
1.750228000000000e-03	2.475733e-01
1.750254831405357e-03	2.290252e-01
1.750283908577236e-03	2.071558e-01
1.750321303924815e-03	1.784595e-01
1.750375048017200e-03	1.394875e-01
1.750482536201973e-03	7.105075e-02
1.750637604392855e-03	-1.052214e-02
1.750795027297174e-03	-7.518746e-02
1.750971770963380e-03	-1.291098e-01
1.751198060753013e-03	-1.782651e-01
1.751466922365316e-03	-2.172555e-01
1.751792920710277e-03	-2.462498e-01
1.752174038926736e-03	-2.651826e-01
1.752642566235790e-03	-2.767113e-01
1.753217676567196e-03	-2.827371e-01
1.753971637557274e-03	-2.854111e-01
1.754993947305727e-03	-2.862677e-01
1.756542441104018e-03	-2.863730e-01
1.764494562100073e-03	-2.859290e-01
2.000000000000002e-03	-2.727737e-01
2.000007766488190e-03	-2.727177e-01
2.000023299464568e-03	-2.721805e-01
2.000054365417323e-03	-2.697186e-01
2.000063271476289e-03	-2.682900e-01
2.000081083594223e-03	-2.635116e-01
2.000099999999998e-03	-2.569534e-01
2.000101891640575e-03	-2.560700e-01
2.000105674921728e-03	-2.542227e-01
