time	V(vout)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+00	-2.451615e-01
2.559999989770745e-09	-2.451379e-01
1.023999995908298e-08	-2.447851e-01
2.047999991816596e-08	-2.436656e-01
4.095999983633192e-08	-2.398844e-01
6.383999934532767e-08	-2.336193e-01
9.104002880558222e-08	-2.219834e-01
1.000000000000000e-07	-2.173720e-01
1.564478185248320e-07	-1.878361e-01
2.137916341691057e-07	-1.601903e-01
3.284792654576532e-07	-1.111234e-01
5.578545280347483e-07	-2.908011e-02
7.943931836946559e-07	3.800659e-02
1.023430519333560e-06	8.695576e-02
1.293162614262084e-06	1.292069e-01
1.634722464031872e-06	1.667797e-01
2.043881832135201e-06	1.962277e-01
2.533308934319588e-06	2.173308e-01
3.112835185719219e-06	2.308850e-01
3.823590570474367e-06	2.388364e-01
4.711258229324831e-06	2.429290e-01
5.711258229324831e-06	2.445334e-01
6.711258229324831e-06	2.449993e-01
7.711258229324831e-06	2.451196e-01
9.711258229324833e-06	2.451587e-01
2.071125822932484e-05	2.451615e-01
3.171125822932484e-05	2.451615e-01
4.271125822932481e-05	2.451615e-01
5.371125822932478e-05	2.451615e-01
6.471125822932475e-05	2.451615e-01
7.571125822932472e-05	2.451615e-01
8.671125822932469e-05	2.451615e-01
9.771125822932466e-05	2.451615e-01
9.971125822932465e-05	2.451615e-01
1.000000000000000e-04	2.451615e-01
Step Information: X=2  (Run: 2/5)
0.000000000000000e+00	-1.803130e-01
6.383999934532767e-08	-1.799010e-01
1.000000000000000e-07	-1.793085e-01
1.016605053188938e-06	-1.614825e-01
1.934106103497319e-06	-1.445421e-01
2.934106103497319e-06	-1.269225e-01
3.934106103497318e-06	-1.102393e-01
4.934106103497318e-06	-9.446207e-02
5.934106103497318e-06	-7.954153e-02
6.934106103497318e-06	-6.543119e-02
7.934106103497318e-06	-5.208706e-02
8.934106103497319e-06	-3.946753e-02
9.934106103497319e-06	-2.753325e-02
1.093410610349732e-05	-1.624701e-02
1.193410610349732e-05	-5.573627e-03
1.293410610349732e-05	4.520186e-03
1.393410610349732e-05	1.406590e-02
1.493410610349732e-05	2.309326e-02
1.593410610349732e-05	3.163044e-02
1.693410610349732e-05	3.970404e-02
1.793410610349732e-05	4.733923e-02
1.893410610349732e-05	5.455983e-02
1.993410610349733e-05	6.138834e-02
2.193410610349733e-05	7.395311e-02
2.393410610349733e-05	8.519038e-02
2.593410610349733e-05	9.524039e-02
2.793410610349733e-05	1.042286e-01
2.993410610349733e-05	1.122672e-01
3.193410610349733e-05	1.194564e-01
3.393410610349732e-05	1.258861e-01
3.593410610349732e-05	1.316365e-01
3.793410610349731e-05	1.367793e-01
3.993410610349731e-05	1.413788e-01
4.193410610349730e-05	1.454923e-01
4.393410610349730e-05	1.491712e-01
4.593410610349729e-05	1.524615e-01
4.793410610349728e-05	1.554041e-01
4.993410610349728e-05	1.580358e-01
5.193410610349727e-05	1.603895e-01
5.393410610349727e-05	1.624945e-01
5.593410610349726e-05	1.643770e-01
5.793410610349726e-05	1.660607e-01
5.993410610349725e-05	1.675665e-01
6.193410610349725e-05	1.689132e-01
6.493410610349724e-05	1.706713e-01
6.793410610349724e-05	1.721582e-01
7.093410610349723e-05	1.734158e-01
7.393410610349722e-05	1.744795e-01
7.693410610349721e-05	1.753791e-01
7.993410610349720e-05	1.761400e-01
8.293410610349719e-05	1.767836e-01
8.593410610349718e-05	1.773279e-01
8.893410610349718e-05	1.777882e-01
9.193410610349717e-05	1.781776e-01
9.593410610349716e-05	1.786050e-01
9.993410610349715e-05	1.789478e-01
1.000000000000000e-04	1.789529e-01
Step Information: X=3  (Run: 3/5)
0.000000000000000e+00	-1.249141e-01
8.527998887057050e-08	-1.245409e-01
1.000000000000000e-07	-1.244019e-01
1.934106103497319e-06	-1.064030e-01
3.934106103497318e-06	-8.817045e-02
5.934106103497318e-06	-7.136801e-02
7.934106103497318e-06	-5.589049e-02
8.934106103497319e-06	-4.861561e-02
9.934106103497319e-06	-4.163343e-02
1.093410610349732e-05	-3.493220e-02
1.193410610349732e-05	-2.850059e-02
1.293410610349732e-05	-2.232777e-02
1.393410610349732e-05	-1.640332e-02
1.493410610349732e-05	-1.071725e-02
1.593410610349732e-05	-5.259961e-03
1.693410610349732e-05	-2.225452e-05
1.793410610349732e-05	5.004707e-03
1.893410610349732e-05	9.829404e-03
1.993410610349733e-05	1.445997e-02
2.093410610349733e-05	1.890422e-02
2.193410610349733e-05	2.316966e-02
2.293410610349733e-05	2.726347e-02
2.493410610349733e-05	3.496355e-02
2.693410610349733e-05	4.205646e-02
2.893410610349733e-05	4.859007e-02
3.193410610349733e-05	5.743731e-02
3.493410610349732e-05	6.525901e-02
3.793410610349731e-05	7.217404e-02
4.093410610349730e-05	7.828750e-02
4.393410610349730e-05	8.369231e-02
4.693410610349729e-05	8.847061e-02
4.993410610349728e-05	9.269503e-02
5.293410610349727e-05	9.642976e-02
5.593410610349726e-05	9.973158e-02
5.893410610349725e-05	1.026507e-01
6.193410610349725e-05	1.052314e-01
6.493410610349724e-05	1.075129e-01
6.793410610349724e-05	1.095300e-01
7.093410610349723e-05	1.113133e-01
7.393410610349722e-05	1.128899e-01
7.693410610349721e-05	1.142837e-01
7.993410610349720e-05	1.155159e-01
8.293410610349719e-05	1.166053e-01
8.593410610349718e-05	1.175685e-01
8.893410610349718e-05	1.184199e-01
9.193410610349717e-05	1.191727e-01
9.593410610349716e-05	1.200425e-01
9.993410610349715e-05	1.207821e-01
1.000000000000000e-04	1.207934e-01
Step Information: X=4  (Run: 4/5)
0.000000000000000e+00	-9.921966e-02
